Actual,Predicted
3.25,3.3744407
3.26,3.386519
3.24,3.3747387
3.89,3.3937082
2.78,3.3630166
3.03,3.3620205
3.53,3.3834991
2.11,3.3653407
2.32,3.358304
2.68,3.3596144
1.87,3.342039
3.08,3.368412
3.41,3.3871336
3.56,3.3934417
3.47,3.3918047
3.63,3.3838348
3.87,3.3853188
3.77,3.391302
3.3,3.3676047
3.66,3.3862958
3.8,3.3930554
3.32,3.3889084
3.48,3.3860726
3.09,3.3791456
3.75,3.3849206
3.24,3.38522
3.31,3.3542194
3.49,3.3897943
2.52,3.33851
2.79,3.3544726
3.0,3.367598
3.67,3.3823347
3.62,3.3954935
3.74,3.3891315
2.71,3.370296
3.51,3.384078
3.07,3.37422
3.72,3.3909683
3.81,3.3829598
3.43,3.3860517
2.55,3.3854003
3.5,3.3792744
3.93,3.3958387
3.56,3.384646
3.3,3.3759046
3.33,3.3807201
3.73,3.39119
3.96,3.3957438
3.09,3.3713193
2.75,3.3587322
3.18,3.3745766
3.87,3.3945441
1.73,3.3458428
3.19,3.379136
3.43,3.3785534
3.52,3.358523
3.9,3.3934822
3.72,3.3928738
3.28,3.3778367
3.5,3.3826413
3.79,3.3932433
3.1,3.3705854
3.04,3.385857
3.28,3.3690438
3.45,3.3848004
2.82,3.3727589
3.2,3.3709607
2.61,3.3602872
2.79,3.3555264
3.77,3.3827634
2.74,3.3691874
3.59,3.3750062
2.93,3.3403192
3.13,3.4008594
2.47,3.3885837
3.69,3.3772821
2.84,3.3678584
3.3,3.371852
3.96,3.3991456
3.31,3.3829246
3.53,3.3792052
3.7,3.3874273
3.71,3.40211
3.61,3.3810802
3.56,3.383422
3.43,3.381155
3.13,3.381318
3.91,3.4017892
2.37,3.3442068
3.28,3.3726873
3.36,3.3803682
3.0,3.3664913
3.89,3.4032707
3.22,3.3663487
3.37,3.3868098
2.9,3.3695092
2.68,3.357852
3.56,3.3857741
3.75,3.3910346
3.8,3.3819327
3.53,3.3786407
3.61,3.391512
3.75,3.3850212
3.56,3.3838315
3.57,3.3940234
2.97,3.3693442
3.52,3.3844786
2.96,3.3740354
3.92,3.398128
3.53,3.3861642
2.91,3.3558345
3.11,3.3704882
3.15,3.363566
2.63,3.3585877
3.39,3.3756208
3.2,3.370339
3.19,3.3682451
3.69,3.373186
3.4,3.3863506
3.03,3.3756323
3.51,3.387207
3.63,3.3895779
3.48,3.3775406
3.37,3.3820887
3.64,3.3789592
3.41,3.3671985
3.52,3.384107
3.28,3.3813796
3.13,3.3952732
3.32,3.3762498
3.75,3.3948812
3.89,3.3809333
3.65,3.3945122
3.57,3.3812299
3.78,3.3984585
