,Actual,Predicted
21268,3.1160869565217393,3.03291311301291
35180,3.4586923076923073,3.2267951164394617
5275,3.075909090909091,3.009472033008933
4320,3.2766173361522193,2.893150243908167
25304,3.455172413793104,3.7008382864296436
33681,2.895715979687057,2.7046149261295795
24905,3.5300000000000002,11572527.965096405
14244,2.6954347826086953,2.759113658219576
10206,3.343939393939394,4996805.316981729
9681,2.9460919540229886,3.0947234258055687
6692,3.6684374999999996,3.708992265164852
5121,2.6686896551724137,2.621069088578224
14971,3.5517241379310347,3.7532892487943172
30428,3.248943661971831,376142081.6073726
26705,2.8465999999999996,2.9334295205771923
23021,3.9574358974358974,3.9376672320067883
3877,3.017264957264957,2.350828357040882
17976,3.4915094339622637,3.4155924934893847
14614,3.577564102564102,3.219819525256753
21544,3.8931999999999998,-454626256.24306047
16728,3.652272727272728,3.7136350832879543
19483,3.8633518005540166,3.748848907649517
2305,3.940714285714286,3.903757570311427
10189,3.6997359913793106,3.6799516044557095
10758,3.6606698564593305,3.640652099624276
17643,3.4375862068965515,3.1173245403915644
24282,3.171515151515152,2.8825912792235613
12424,3.575909090909091,3.4931373298168182
14490,3.291634615384616,3.159123422577977
37528,3.6481132075471696,3.4712440073490143
17461,2.9596969696969695,2.9168108478188515
2933,3.7815533980582523,3.61636053211987
1869,3.636818181818182,12512680.18229127
24924,3.2380599204716844,3.0863872952759266
18381,3.609565217391304,3.4740371368825436
9156,3.17978021978022,3.3156968727707863
36205,3.456258992805755,26635710.64866402
16720,3.468888888888889,3.4716185554862022
20451,3.4423913043478267,3.7054457776248455
21437,3.6414579002848497,3.4297449234873056
10142,3.296904761904762,3.23402788862586
24695,3.3699999999999997,3.297958353534341
34202,3.7532467532467533,3.6515833400189877
33304,3.7142857142857144,3.5854525603353977
19101,3.3386666666666667,3.42902690730989
33233,3.4270000000000005,531861717.02529323
4757,3.5582608695652174,3.5890560764819384
11986,3.8181818181818183,3.6499205008149147
24605,3.7053846153846157,3.5692785941064358
8014,2.943056426332288,3.0006620846688747
